state,_all,keyword,average,delta,frac
MT,9976.0,114.0,0.011427425822,-0.0117351490108,0.493357319058
AR,36957.0,455.0,0.0123116053792,-0.0108509694536,0.531530085412
DC,94142.0,1212.0,0.0128741688088,-0.010288406024,0.55581768874
NE,42636.0,639.0,0.0149873346468,-0.00817524018601,0.647049594226
MO,108180.0,1638.0,0.0151414309484,-0.00802114388436,0.653702408205
TN,159627.0,2527.0,0.015830655215,-0.00733191961781,0.683458351641
KY,69714.0,1134.0,0.0162664601084,-0.00689611472434,0.702273396886
MN,89406.0,1479.0,0.0165425139252,-0.00662006090754,0.714191494023
VT,6304.0,105.0,0.0166560913706,-0.00650648346223,0.719094983645
SC,81155.0,1352.0,0.0166594787752,-0.0065030960576,0.71924122838
SD,8317.0,142.0,0.0170734639894,-0.00608911084336,0.737114250582
ME,13695.0,240.0,0.0175246440307,-0.00563793080212,0.756593088514
NC,209520.0,3833.0,0.0182941962581,-0.00486837857467,0.789817038485
KS,49186.0,927.0,0.0188468263327,-0.00431574850009,0.813675788152
WV,25216.0,476.0,0.0188769035533,-0.00428567127948,0.814974314798
OK,86027.0,1635.0,0.0190056610134,-0.00415691381938,0.820533172612
IA,52130.0,991.0,0.0190101668905,-0.00415240794232,0.820727705262
CO,113687.0,2256.0,0.0198439575325,-0.00331861730026,0.856725026288
VA,191967.0,3817.0,0.0198836258315,-0.00327894900126,0.858437629455
AL,101255.0,2033.0,0.0200780208385,-0.00308455399431,0.866830263191
MA,175736.0,3547.0,0.0201836846178,-0.00297889021495,0.871392095376
IN,157770.0,3186.0,0.020193953223,-0.00296862160974,0.871835422825
NY,617461.0,12539.0,0.0203073554443,-0.00285521938847,0.876731347483
GA,235161.0,4859.0,0.0206624397753,-0.00250013505748,0.892061436367
WI,76468.0,1591.0,0.0208060888215,-0.00235648601132,0.898263210013
MS,50760.0,1068.0,0.0210401891253,-0.00212238570749,0.908370044228
NH,18666.0,394.0,0.0211078967106,-0.00205467812219,0.911293190113
UT,54747.0,1175.0,0.0214623632345,-0.00170021159827,0.926596606356
OR,97526.0,2111.0,0.0216455099153,-0.00151706491748,0.934503615059
OH,353774.0,7739.0,0.021875547666,-0.00128702716676,0.94443505629
NJ,241074.0,5360.0,0.0222338369131,-0.000928737919637,0.959903511318
FL,500320.0,11172.0,0.0223297089862,-0.000832865846535,0.964042605257
ID,19483.0,436.0,0.0223784838064,-0.000784091026389,0.966148365108
NM,37010.0,829.0,0.0223993515266,-0.00076322330617,0.967049289136
PA,233975.0,5331.0,0.022784485522,-0.000378089310827,0.983676714979
CT,87221.0,1994.0,0.0228614668486,-0.000301107984204,0.987000236961
WA,169573.0,3923.0,0.0231345792078,-2.79956250092e-05,0.998791342275
RI,27097.0,638.0,0.0235450418866,0.000382467053772,1.01651228573
IL,336721.0,8005.0,0.023773391027,0.000610816194209,1.02637082443
MD,201450.0,4818.0,0.0239166046165,0.000754029783746,1.03255379806
MI,214181.0,5372.0,0.0250815898702,0.00191901503747,1.0828498149
TX,1086756.0,27779.0,0.0255613955663,0.00239882073347,1.10356451089
DE,11740.0,301.0,0.0256388415673,0.00247626673451,1.1069080943
ND,7699.0,199.0,0.025847512664,0.0026849378312,1.11591707099
LA,216023.0,5586.0,0.0258583576749,0.00269578284209,1.11638528365
AZ,173604.0,4742.0,0.027315038824,0.00415246399121,1.17927471454
NV,127481.0,3635.0,0.0285140530746,0.00535147824179,1.23103986843
CA,1377434.0,40490.0,0.0293952378118,0.00623266297897,1.26908333914
WY,5357.0,163.0,0.0304274780661,0.0072649032333,1.31364834375
